Date,No. Interviews,day_type
1-Aug-23,4,weekday
2-Aug-23,6,weekday
3-Aug-23,14,weekday
4-Aug-23,9,weekday
5-Aug-23,25,weekend
6-Aug-23,22,weekend
7-Aug-23,27,weekday
8-Aug-23,5,weekday
9-Aug-23,12,weekday
10-Aug-23,15,weekday
11-Aug-23,10,weekday
12-Aug-23,11,weekend
13-Aug-23,22,weekend
14-Aug-23,31,weekday
15-Aug-23,22,weekday
16-Aug-23,26,weekday
17-Aug-23,47,weekday
18-Aug-23,28,weekday
19-Aug-23,36,weekend
20-Aug-23,45,weekend
21-Aug-23,22,weekday
22-Aug-23,32,weekday
23-Aug-23,17,weekday
24-Aug-23,33,weekday
25-Aug-23,24,weekday
26-Aug-23,22,weekend
27-Aug-23,17,weekend
28-Aug-23,30,weekday
29-Aug-23,12,weekday
30-Aug-23,16,weekday
31-Aug-23,14,weekday
1-Sep-23,11,weekday
2-Sep-23,20,weekend
3-Sep-23,24,weekend
4-Sep-23,16,weekday
5-Sep-23,8,weekday
6-Sep-23,2,weekday
7-Sep-23,0,weekday
8-Sep-23,4,weekday
9-Sep-23,6,weekend
10-Sep-23,4,weekend
11-Sep-23,0,weekday
12-Sep-23,0,weekday
13-Sep-23,0,weekday
14-Sep-23,0,weekday
15-Sep-23,0,weekday
,,
Total,751,
